dimension,num_prod,run,iters_to_NE,NE,converged
10,10,10,6,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,11,8,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,12,5,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,13,7,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,14,8,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,15,7,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,16,8,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,17,5,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,18,5,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,19,6,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,20,9,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,21,9,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,22,6,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,23,7,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,24,5,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,25,7,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,26,6,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,27,4,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,28,6,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,29,6,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,30,7,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,31,3,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,32,8,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,33,7,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,34,8,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,35,7,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,36,5,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,37,5,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,38,9,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,10,39,5,[1. 1. 0. 0. 0. 2. 2. 1. 0. 3.],True
10,20,0,8,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,1,12,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,2,6,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,3,9,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,4,12,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,5,10,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,6,14,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,7,10,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,8,7,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,9,7,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,10,13,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,11,10,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,12,12,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,13,11,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,14,10,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,15,9,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,16,11,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,17,13,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,18,11,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,19,12,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,20,11,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,21,11,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,22,15,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,23,11,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,24,15,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,25,10,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,26,6,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,27,10,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,28,10,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,29,13,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,30,13,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,31,10,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,32,12,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,33,13,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,34,13,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,35,14,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,36,11,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,37,13,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,38,11,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,20,39,9,[1. 2. 0. 1. 1. 3. 5. 1. 0. 6.],True
10,30,0,19,[2. 3. 0. 1. 1. 5. 7. 2. 0. 9.],True
10,30,1,18,[2. 3. 0. 1. 1. 5. 7. 2. 0. 9.],True
10,30,2,20,[2. 3. 0. 1. 1. 5. 7. 2. 0. 9.],True
