dimension,num_prod,run,iters_to_NE,NE,converged
5,90,21,50,[ 0. 56.  0. 19. 15.],True
5,90,22,55,[ 0. 56.  0. 19. 15.],True
5,90,23,50,[ 0. 56.  0. 19. 15.],True
5,90,24,49,[ 0. 56.  0. 19. 15.],True
5,90,25,49,[ 0. 56.  0. 19. 15.],True
5,90,26,53,[ 0. 56.  0. 19. 15.],True
5,90,27,49,[ 0. 56.  0. 19. 15.],True
5,90,28,46,[ 0. 56.  0. 19. 15.],True
5,90,29,53,[ 0. 56.  0. 19. 15.],True
5,90,30,50,[ 0. 56.  0. 19. 15.],True
5,90,31,53,[ 0. 56.  0. 19. 15.],True
5,90,32,41,[ 0. 56.  0. 19. 15.],True
5,90,33,57,[ 0. 56.  0. 19. 15.],True
5,90,34,62,[ 0. 56.  0. 19. 15.],True
5,90,35,60,[ 0. 56.  0. 19. 15.],True
5,90,36,47,[ 0. 56.  0. 19. 15.],True
5,90,37,52,[ 0. 56.  0. 19. 15.],True
5,90,38,54,[ 0. 56.  0. 19. 15.],True
5,90,39,51,[ 0. 56.  0. 19. 15.],True
5,100,0,57,[ 0. 62.  0. 21. 17.],True
5,100,1,47,[ 0. 62.  0. 21. 17.],True
5,100,2,57,[ 0. 62.  0. 21. 17.],True
5,100,3,49,[ 0. 62.  0. 21. 17.],True
5,100,4,68,[ 0. 62.  0. 21. 17.],True
5,100,5,53,[ 0. 62.  0. 21. 17.],True
5,100,6,58,[ 0. 62.  0. 21. 17.],True
5,100,7,57,[ 0. 62.  0. 21. 17.],True
5,100,8,61,[ 0. 62.  0. 21. 17.],True
5,100,9,52,[ 0. 62.  0. 21. 17.],True
5,100,10,51,[ 0. 62.  0. 21. 17.],True
5,100,11,60,[ 0. 62.  0. 21. 17.],True
5,100,12,53,[ 0. 62.  0. 21. 17.],True
5,100,13,55,[ 0. 62.  0. 21. 17.],True
5,100,14,60,[ 0. 62.  0. 21. 17.],True
5,100,15,56,[ 0. 62.  0. 21. 17.],True
5,100,16,51,[ 0. 62.  0. 21. 17.],True
5,100,17,51,[ 0. 62.  0. 21. 17.],True
5,100,18,62,[ 0. 62.  0. 21. 17.],True
5,100,19,62,[ 0. 62.  0. 21. 17.],True
5,100,20,49,[ 0. 62.  0. 21. 17.],True
5,100,21,62,[ 0. 62.  0. 21. 17.],True
5,100,22,50,[ 0. 62.  0. 21. 17.],True
5,100,23,53,[ 0. 62.  0. 21. 17.],True
5,100,24,58,[ 0. 62.  0. 21. 17.],True
5,100,25,64,[ 0. 62.  0. 21. 17.],True
5,100,26,60,[ 0. 62.  0. 21. 17.],True
5,100,27,58,[ 0. 62.  0. 21. 17.],True
5,100,28,54,[ 0. 62.  0. 21. 17.],True
5,100,29,62,[ 0. 62.  0. 21. 17.],True
5,100,30,55,[ 0. 62.  0. 21. 17.],True
5,100,31,61,[ 0. 62.  0. 21. 17.],True
5,100,32,57,[ 0. 62.  0. 21. 17.],True
5,100,33,56,[ 0. 62.  0. 21. 17.],True
5,100,34,62,[ 0. 62.  0. 21. 17.],True
5,100,35,53,[ 0. 62.  0. 21. 17.],True
5,100,36,57,[ 0. 62.  0. 21. 17.],True
5,100,37,59,[ 0. 62.  0. 21. 17.],True
5,100,38,52,[ 0. 62.  0. 21. 17.],True
5,100,39,53,[ 0. 62.  0. 21. 17.],True
10,10,0,9,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,1,8,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,2,10,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,3,8,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,4,9,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,5,9,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,6,10,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,7,9,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,8,8,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,9,8,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,10,7,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,11,7,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,12,6,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,13,7,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,14,10,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,15,9,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,16,6,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,17,8,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,18,4,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,19,9,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,20,8,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,21,9,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,22,8,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,23,8,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,24,6,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,25,7,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,26,8,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,27,9,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,28,9,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,29,9,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,30,8,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,31,10,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,32,7,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,33,8,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,34,6,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,35,9,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,36,6,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,37,9,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,38,8,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,10,39,7,[0. 0. 7. 0. 0. 0. 0. 2. 0. 1.],True
10,20,0,16,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,1,16,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,2,15,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,3,18,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,4,14,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,5,18,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,6,13,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,7,17,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,8,16,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,9,16,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,10,19,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,11,18,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,12,17,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,13,17,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,14,12,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,15,16,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,16,15,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,17,16,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,18,14,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,19,18,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,20,15,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,21,16,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,22,15,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,23,13,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,24,18,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,25,16,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,26,15,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,27,15,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,28,16,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
10,20,29,16,[ 0.  0. 13.  0.  0.  0.  0.  5.  0.  2.],True
