dimension,num_prod,run,iters_to_NE,NE,converged
15,60,18,17,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,19,18,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,20,22,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,21,15,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,22,16,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,23,16,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,24,16,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,25,17,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,26,16,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,27,15,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,28,18,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,29,16,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,30,16,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,31,16,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,32,17,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,33,18,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,34,20,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,35,8,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,36,15,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,37,21,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,38,16,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,60,39,15,[3. 4. 5. 4. 4. 4. 2. 4. 4. 4. 4. 4. 4. 5. 5.],True
15,70,0,15,[4. 5. 6. 5. 4. 5. 3. 5. 4. 4. 5. 4. 4. 6. 6.],True
