dimension,num_prod,run,iters_to_NE,NE,converged
5,30,26,4,[6. 6. 6. 6. 6.],True
5,30,27,6,[6. 6. 6. 6. 6.],True
5,30,28,7,[6. 6. 6. 6. 6.],True
5,30,29,3,[6. 6. 6. 6. 6.],True
5,30,30,4,[6. 6. 6. 6. 6.],True
5,30,31,5,[6. 6. 6. 6. 6.],True
5,30,32,8,[6. 6. 6. 6. 6.],True
5,30,33,5,[6. 6. 6. 6. 6.],True
5,30,34,6,[6. 6. 6. 6. 6.],True
5,30,35,4,[6. 6. 6. 6. 6.],True
5,30,36,4,[6. 6. 6. 6. 6.],True
5,30,37,3,[6. 6. 6. 6. 6.],True
5,30,38,6,[6. 6. 6. 6. 6.],True
5,30,39,4,[6. 6. 6. 6. 6.],True
5,40,0,8,[8. 8. 8. 8. 8.],True
5,40,1,6,[8. 8. 8. 8. 8.],True
5,40,2,3,[8. 8. 8. 8. 8.],True
5,40,3,4,[8. 8. 8. 8. 8.],True
5,40,4,4,[8. 8. 8. 8. 8.],True
5,40,5,7,[8. 8. 8. 8. 8.],True
5,40,6,9,[8. 8. 8. 8. 8.],True
5,40,7,9,[8. 8. 8. 8. 8.],True
5,40,8,7,[8. 8. 8. 8. 8.],True
5,40,9,8,[8. 8. 8. 8. 8.],True
5,40,10,4,[8. 8. 8. 8. 8.],True
5,40,11,6,[8. 8. 8. 8. 8.],True
5,40,12,8,[8. 8. 8. 8. 8.],True
5,40,13,7,[8. 8. 8. 8. 8.],True
5,40,14,5,[8. 8. 8. 8. 8.],True
5,40,15,5,[8. 8. 8. 8. 8.],True
5,40,16,7,[8. 8. 8. 8. 8.],True
5,40,17,4,[8. 8. 8. 8. 8.],True
5,40,18,6,[8. 8. 8. 8. 8.],True
5,40,19,8,[8. 8. 8. 8. 8.],True
5,40,20,4,[8. 8. 8. 8. 8.],True
5,40,21,5,[8. 8. 8. 8. 8.],True
5,40,22,4,[8. 8. 8. 8. 8.],True
5,40,23,8,[8. 8. 8. 8. 8.],True
5,40,24,7,[8. 8. 8. 8. 8.],True
5,40,25,7,[8. 8. 8. 8. 8.],True
5,40,26,6,[8. 8. 8. 8. 8.],True
5,40,27,5,[8. 8. 8. 8. 8.],True
5,40,28,9,[8. 8. 8. 8. 8.],True
5,40,29,3,[8. 8. 8. 8. 8.],True
5,40,30,9,[8. 8. 8. 8. 8.],True
5,40,31,6,[8. 8. 8. 8. 8.],True
5,40,32,5,[8. 8. 8. 8. 8.],True
5,40,33,9,[8. 8. 8. 8. 8.],True
5,40,34,4,[8. 8. 8. 8. 8.],True
5,40,35,6,[8. 8. 8. 8. 8.],True
5,40,36,6,[8. 8. 8. 8. 8.],True
5,40,37,7,[8. 8. 8. 8. 8.],True
5,40,38,6,[8. 8. 8. 8. 8.],True
5,40,39,5,[8. 8. 8. 8. 8.],True
5,50,0,8,[10. 10. 10. 10. 10.],True
5,50,1,13,[10. 10. 10. 10. 10.],True
5,50,2,9,[10. 10. 10. 10. 10.],True
5,50,3,5,[10. 10. 10. 10. 10.],True
5,50,4,10,[10. 10. 10. 10. 10.],True
5,50,5,9,[10. 10. 10. 10. 10.],True
5,50,6,6,[10. 10. 10. 10. 10.],True
5,50,7,4,[10. 10. 10. 10. 10.],True
5,50,8,9,[10. 10. 10. 10. 10.],True
5,50,9,10,[10. 10. 10. 10. 10.],True
5,50,10,4,[10. 10. 10. 10. 10.],True
5,50,11,7,[10. 10. 10. 10. 10.],True
5,50,12,3,[10. 10. 10. 10. 10.],True
5,50,13,8,[10. 10. 10. 10. 10.],True
5,50,14,11,[10. 10. 10. 10. 10.],True
5,50,15,5,[10. 10. 10. 10. 10.],True
5,50,16,7,[10. 10. 10. 10. 10.],True
5,50,17,5,[10. 10. 10. 10. 10.],True
5,50,18,6,[10. 10. 10. 10. 10.],True
5,50,19,7,[10. 10. 10. 10. 10.],True
5,50,20,7,[10. 10. 10. 10. 10.],True
5,50,21,9,[10. 10. 10. 10. 10.],True
5,50,22,6,[10. 10. 10. 10. 10.],True
5,50,23,10,[10. 10. 10. 10. 10.],True
5,50,24,9,[10. 10. 10. 10. 10.],True
5,50,25,3,[10. 10. 10. 10. 10.],True
5,50,26,4,[10. 10. 10. 10. 10.],True
5,50,27,7,[10. 10. 10. 10. 10.],True
5,50,28,6,[10. 10. 10. 10. 10.],True
5,50,29,8,[10. 10. 10. 10. 10.],True
5,50,30,5,[10. 10. 10. 10. 10.],True
5,50,31,8,[10. 10. 10. 10. 10.],True
5,50,32,11,[10. 10. 10. 10. 10.],True
5,50,33,4,[10. 10. 10. 10. 10.],True
5,50,34,8,[10. 10. 10. 10. 10.],True
5,50,35,4,[10. 10. 10. 10. 10.],True
5,50,36,6,[10. 10. 10. 10. 10.],True
5,50,37,8,[10. 10. 10. 10. 10.],True
5,50,38,12,[10. 10. 10. 10. 10.],True
5,50,39,4,[10. 10. 10. 10. 10.],True
5,60,0,5,[11. 12. 12. 12. 13.],True
5,60,1,9,[11. 12. 12. 12. 13.],True
5,60,2,13,[11. 12. 12. 12. 13.],True
5,60,3,11,[11. 12. 12. 12. 13.],True
5,60,4,4,[11. 12. 12. 12. 13.],True
5,60,5,8,[11. 12. 12. 12. 13.],True
5,60,6,5,[11. 12. 12. 12. 13.],True
5,60,7,5,[11. 12. 12. 12. 13.],True
5,60,8,7,[11. 12. 12. 12. 13.],True
5,60,9,12,[11. 12. 12. 12. 13.],True
5,60,10,5,[11. 12. 12. 12. 13.],True
5,60,11,5,[11. 12. 12. 12. 13.],True
5,60,12,4,[11. 12. 12. 12. 13.],True
5,60,13,2,[11. 12. 12. 12. 13.],True
5,60,14,9,[11. 12. 12. 12. 13.],True
5,60,15,15,[11. 12. 12. 12. 13.],True
5,60,16,8,[11. 12. 12. 12. 13.],True
5,60,17,5,[11. 12. 12. 12. 13.],True
5,60,18,4,[11. 12. 12. 12. 13.],True
5,60,19,7,[11. 12. 12. 12. 13.],True
5,60,20,6,[11. 12. 12. 12. 13.],True
5,60,21,12,[11. 12. 12. 12. 13.],True
5,60,22,7,[11. 12. 12. 12. 13.],True
5,60,23,2,[11. 12. 12. 12. 13.],True
5,60,24,8,[11. 12. 12. 12. 13.],True
5,60,25,3,[11. 12. 12. 12. 13.],True
5,60,26,4,[11. 12. 12. 12. 13.],True
5,60,27,3,[11. 12. 12. 12. 13.],True
5,60,28,8,[11. 12. 12. 12. 13.],True
5,60,29,8,[11. 12. 12. 12. 13.],True
5,60,30,10,[11. 12. 12. 12. 13.],True
5,60,31,10,[11. 12. 12. 12. 13.],True
5,60,32,6,[11. 12. 12. 12. 13.],True
5,60,33,8,[11. 12. 12. 12. 13.],True
5,60,34,8,[11. 12. 12. 12. 13.],True
5,60,35,14,[11. 12. 12. 12. 13.],True
5,60,36,8,[11. 12. 12. 12. 13.],True
5,60,37,4,[11. 12. 12. 12. 13.],True
5,60,38,6,[11. 12. 12. 12. 13.],True
5,60,39,8,[11. 12. 12. 12. 13.],True
5,70,0,13,[13. 14. 14. 14. 15.],True
5,70,1,12,[13. 14. 14. 14. 15.],True
5,70,2,15,[13. 14. 14. 14. 15.],True
5,70,3,11,[13. 14. 14. 14. 15.],True
5,70,4,8,[13. 14. 14. 14. 15.],True
5,70,5,7,[13. 14. 14. 14. 15.],True
5,70,6,7,[13. 14. 14. 14. 15.],True
5,70,7,4,[13. 14. 14. 14. 15.],True
5,70,8,6,[13. 14. 14. 14. 15.],True
5,70,9,9,[13. 14. 14. 14. 15.],True
5,70,10,10,[13. 14. 14. 14. 15.],True
5,70,11,11,[13. 14. 14. 14. 15.],True
5,70,12,10,[13. 14. 14. 14. 15.],True
5,70,13,4,[13. 14. 14. 14. 15.],True
5,70,14,11,[13. 14. 14. 14. 15.],True
5,70,15,8,[13. 14. 14. 14. 15.],True
5,70,16,8,[13. 14. 14. 14. 15.],True
5,70,17,10,[13. 14. 14. 14. 15.],True
5,70,18,3,[13. 14. 14. 14. 15.],True
5,70,19,6,[13. 14. 14. 14. 15.],True
5,70,20,15,[13. 14. 14. 14. 15.],True
5,70,21,4,[13. 14. 14. 14. 15.],True
5,70,22,4,[13. 14. 14. 14. 15.],True
5,70,23,13,[13. 14. 14. 14. 15.],True
5,70,24,7,[13. 14. 14. 14. 15.],True
5,70,25,11,[13. 14. 14. 14. 15.],True
5,70,26,12,[13. 14. 14. 14. 15.],True
5,70,27,9,[13. 14. 14. 14. 15.],True
5,70,28,5,[13. 14. 14. 14. 15.],True
5,70,29,9,[13. 14. 14. 14. 15.],True
5,70,30,14,[13. 14. 14. 14. 15.],True
5,70,31,7,[13. 14. 14. 14. 15.],True
5,70,32,8,[13. 14. 14. 14. 15.],True
5,70,33,9,[13. 14. 14. 14. 15.],True
5,70,34,14,[13. 14. 14. 14. 15.],True
5,70,35,10,[13. 14. 14. 14. 15.],True
5,70,36,7,[13. 14. 14. 14. 15.],True
5,70,37,9,[13. 14. 14. 14. 15.],True
5,70,38,9,[13. 14. 14. 14. 15.],True
5,70,39,15,[13. 14. 14. 14. 15.],True
5,80,0,9,[15. 16. 16. 16. 17.],True
5,80,1,9,[15. 16. 16. 16. 17.],True
5,80,2,9,[15. 16. 16. 16. 17.],True
5,80,3,8,[15. 16. 16. 16. 17.],True
5,80,4,11,[15. 16. 16. 16. 17.],True
5,80,5,14,[15. 16. 16. 16. 17.],True
5,80,6,12,[15. 16. 16. 16. 17.],True
5,80,7,2,[15. 16. 16. 16. 17.],True
5,80,8,12,[15. 16. 16. 16. 17.],True
5,80,9,4,[15. 16. 16. 16. 17.],True
5,80,10,13,[15. 16. 16. 16. 17.],True
5,80,11,5,[15. 16. 16. 16. 17.],True
5,80,12,11,[15. 16. 16. 16. 17.],True
5,80,13,3,[15. 16. 16. 16. 17.],True
5,80,14,11,[15. 16. 16. 16. 17.],True
5,80,15,6,[15. 16. 16. 16. 17.],True
5,80,16,7,[15. 16. 16. 16. 17.],True
5,80,17,9,[15. 16. 16. 16. 17.],True
5,80,18,14,[15. 16. 16. 16. 17.],True
5,80,19,10,[15. 16. 16. 16. 17.],True
5,80,20,12,[15. 16. 16. 16. 17.],True
5,80,21,12,[15. 16. 16. 16. 17.],True
5,80,22,9,[15. 16. 16. 16. 17.],True
5,80,23,7,[15. 16. 16. 16. 17.],True
5,80,24,7,[15. 16. 16. 16. 17.],True
5,80,25,9,[15. 16. 16. 16. 17.],True
5,80,26,10,[15. 16. 16. 16. 17.],True
5,80,27,6,[15. 16. 16. 16. 17.],True
5,80,28,14,[15. 16. 16. 16. 17.],True
5,80,29,5,[15. 16. 16. 16. 17.],True
5,80,30,10,[15. 16. 16. 16. 17.],True
5,80,31,11,[15. 16. 16. 16. 17.],True
5,80,32,6,[15. 16. 16. 16. 17.],True
5,80,33,9,[15. 16. 16. 16. 17.],True
5,80,34,12,[15. 16. 16. 16. 17.],True
5,80,35,12,[15. 16. 16. 16. 17.],True
5,80,36,12,[15. 16. 16. 16. 17.],True
5,80,37,12,[15. 16. 16. 16. 17.],True
5,80,38,9,[15. 16. 16. 16. 17.],True
5,80,39,7,[15. 16. 16. 16. 17.],True
5,90,0,10,[17. 18. 18. 18. 19.],True
5,90,1,5,[17. 18. 18. 18. 19.],True
5,90,2,11,[17. 18. 18. 18. 19.],True
5,90,3,6,[17. 18. 18. 18. 19.],True
