dimension,num_prod,run,iters_to_NE,NE,converged
5,30,26,3,[4. 7. 4. 6. 9.],True
5,30,27,5,[4. 7. 4. 6. 9.],True
5,30,28,9,[4. 7. 4. 6. 9.],True
5,30,29,8,[4. 7. 4. 6. 9.],True
5,30,30,13,[4. 7. 4. 6. 9.],True
5,30,31,5,[4. 7. 4. 6. 9.],True
5,30,32,14,[4. 7. 4. 6. 9.],True
5,30,33,4,[4. 7. 4. 6. 9.],True
5,30,34,8,[4. 7. 4. 6. 9.],True
5,30,35,6,[4. 7. 4. 6. 9.],True
5,30,36,4,[4. 7. 4. 6. 9.],True
5,30,37,5,[4. 7. 4. 6. 9.],True
5,30,38,9,[4. 7. 4. 6. 9.],True
5,30,39,5,[4. 7. 4. 6. 9.],True
5,40,0,9,[ 6.  9.  6.  7. 12.],True
5,40,1,12,[ 6.  9.  6.  7. 12.],True
5,40,2,4,[ 6.  9.  6.  7. 12.],True
5,40,3,15,[ 6.  9.  6.  7. 12.],True
5,40,4,9,[ 6.  9.  6.  7. 12.],True
5,40,5,12,[ 6.  9.  6.  7. 12.],True
5,40,6,9,[ 6.  9.  6.  7. 12.],True
5,40,7,5,[ 6.  9.  6.  7. 12.],True
5,40,8,7,[ 6.  9.  6.  7. 12.],True
5,40,9,14,[ 6.  9.  6.  7. 12.],True
5,40,10,12,[ 6.  9.  6.  7. 12.],True
5,40,11,6,[ 6.  9.  6.  7. 12.],True
5,40,12,7,[ 6.  9.  6.  7. 12.],True
5,40,13,12,[ 6.  9.  6.  7. 12.],True
5,40,14,9,[ 6.  9.  6.  7. 12.],True
5,40,15,9,[ 6.  9.  6.  7. 12.],True
5,40,16,12,[ 6.  9.  6.  7. 12.],True
5,40,17,5,[ 6.  9.  6.  7. 12.],True
5,40,18,9,[ 6.  9.  6.  7. 12.],True
5,40,19,6,[ 6.  9.  6.  7. 12.],True
5,40,20,4,[ 6.  9.  6.  7. 12.],True
5,40,21,5,[ 6.  9.  6.  7. 12.],True
5,40,22,13,[ 6.  9.  6.  7. 12.],True
5,40,23,12,[ 6.  9.  6.  7. 12.],True
5,40,24,12,[ 6.  9.  6.  7. 12.],True
5,40,25,11,[ 6.  9.  6.  7. 12.],True
5,40,26,6,[ 6.  9.  6.  7. 12.],True
5,40,27,15,[ 6.  9.  6.  7. 12.],True
5,40,28,9,[ 6.  9.  6.  7. 12.],True
5,40,29,8,[ 6.  9.  6.  7. 12.],True
5,40,30,10,[ 6.  9.  6.  7. 12.],True
5,40,31,10,[ 6.  9.  6.  7. 12.],True
5,40,32,11,[ 6.  9.  6.  7. 12.],True
5,40,33,8,[ 6.  9.  6.  7. 12.],True
5,40,34,6,[ 6.  9.  6.  7. 12.],True
5,40,35,5,[ 6.  9.  6.  7. 12.],True
5,40,36,7,[ 6.  9.  6.  7. 12.],True
5,40,37,7,[ 6.  9.  6.  7. 12.],True
5,40,38,8,[ 6.  9.  6.  7. 12.],True
5,40,39,5,[ 6.  9.  6.  7. 12.],True
5,50,0,11,[ 7. 11.  8.  9. 15.],True
5,50,1,12,[ 7. 11.  8.  9. 15.],True
5,50,2,11,[ 7. 11.  8.  9. 15.],True
5,50,3,11,[ 7. 11.  8.  9. 15.],True
5,50,4,10,[ 7. 11.  8.  9. 15.],True
5,50,5,10,[ 7. 11.  8.  9. 15.],True
5,50,6,4,[ 7. 11.  8.  9. 15.],True
5,50,7,16,[ 7. 11.  8.  9. 15.],True
5,50,8,10,[ 7. 11.  8.  9. 15.],True
5,50,9,12,[ 7. 11.  8.  9. 15.],True
5,50,10,14,[ 7. 11.  8.  9. 15.],True
5,50,11,10,[ 7. 11.  8.  9. 15.],True
5,50,12,3,[ 7. 11.  8.  9. 15.],True
5,50,13,18,[ 7. 11.  8.  9. 15.],True
5,50,14,3,[ 7. 11.  8.  9. 15.],True
5,50,15,2,[ 7. 11.  8.  9. 15.],True
5,50,16,8,[ 7. 11.  8.  9. 15.],True
5,50,17,11,[ 7. 11.  8.  9. 15.],True
5,50,18,13,[ 7. 11.  8.  9. 15.],True
5,50,19,16,[ 7. 11.  8.  9. 15.],True
5,50,20,3,[ 7. 11.  8.  9. 15.],True
5,50,21,9,[ 7. 11.  8.  9. 15.],True
5,50,22,7,[ 7. 11.  8.  9. 15.],True
5,50,23,4,[ 7. 11.  8.  9. 15.],True
5,50,24,10,[ 7. 11.  8.  9. 15.],True
5,50,25,14,[ 7. 11.  8.  9. 15.],True
5,50,26,14,[ 7. 11.  8.  9. 15.],True
5,50,27,8,[ 7. 11.  8.  9. 15.],True
5,50,28,11,[ 7. 11.  8.  9. 15.],True
5,50,29,11,[ 7. 11.  8.  9. 15.],True
5,50,30,9,[ 7. 11.  8.  9. 15.],True
5,50,31,7,[ 7. 11.  8.  9. 15.],True
5,50,32,11,[ 7. 11.  8.  9. 15.],True
5,50,33,6,[ 7. 11.  8.  9. 15.],True
5,50,34,7,[ 7. 11.  8.  9. 15.],True
5,50,35,11,[ 7. 11.  8.  9. 15.],True
5,50,36,19,[ 7. 11.  8.  9. 15.],True
5,50,37,14,[ 7. 11.  8.  9. 15.],True
5,50,38,11,[ 7. 11.  8.  9. 15.],True
5,50,39,17,[ 7. 11.  8.  9. 15.],True
5,60,0,9,[ 9. 13.  9. 11. 18.],True
5,60,1,19,[ 9. 13.  9. 11. 18.],True
5,60,2,19,[ 9. 13.  9. 11. 18.],True
5,60,3,16,[ 9. 13.  9. 11. 18.],True
5,60,4,14,[ 9. 13.  9. 11. 18.],True
5,60,5,13,[ 9. 13.  9. 11. 18.],True
5,60,6,6,[ 9. 13.  9. 11. 18.],True
5,60,7,17,[ 9. 13.  9. 11. 18.],True
5,60,8,13,[ 9. 13.  9. 11. 18.],True
5,60,9,6,[ 9. 13.  9. 11. 18.],True
5,60,10,10,[ 9. 13.  9. 11. 18.],True
5,60,11,7,[ 9. 13.  9. 11. 18.],True
5,60,12,8,[ 9. 13.  9. 11. 18.],True
5,60,13,16,[ 9. 13.  9. 11. 18.],True
5,60,14,11,[ 9. 13.  9. 11. 18.],True
5,60,15,13,[ 9. 13.  9. 11. 18.],True
5,60,16,18,[ 9. 13.  9. 11. 18.],True
5,60,17,14,[ 9. 13.  9. 11. 18.],True
5,60,18,8,[ 9. 13.  9. 11. 18.],True
5,60,19,25,[ 9. 13.  9. 11. 18.],True
5,60,20,11,[ 9. 13.  9. 11. 18.],True
5,60,21,9,[ 9. 13.  9. 11. 18.],True
5,60,22,11,[ 9. 13.  9. 11. 18.],True
5,60,23,13,[ 9. 13.  9. 11. 18.],True
5,60,24,9,[ 9. 13.  9. 11. 18.],True
5,60,25,14,[ 9. 13.  9. 11. 18.],True
5,60,26,14,[ 9. 13.  9. 11. 18.],True
5,60,27,14,[ 9. 13.  9. 11. 18.],True
5,60,28,14,[ 9. 13.  9. 11. 18.],True
5,60,29,7,[ 9. 13.  9. 11. 18.],True
5,60,30,16,[ 9. 13.  9. 11. 18.],True
5,60,31,13,[ 9. 13.  9. 11. 18.],True
5,60,32,13,[ 9. 13.  9. 11. 18.],True
5,60,33,12,[ 9. 13.  9. 11. 18.],True
5,60,34,8,[ 9. 13.  9. 11. 18.],True
5,60,35,12,[ 9. 13.  9. 11. 18.],True
5,60,36,9,[ 9. 13.  9. 11. 18.],True
5,60,37,14,[ 9. 13.  9. 11. 18.],True
5,60,38,2,[ 9. 13.  9. 11. 18.],True
5,60,39,10,[ 9. 13.  9. 11. 18.],True
5,70,0,17,[10. 15. 11. 13. 21.],True
5,70,1,10,[10. 15. 11. 13. 21.],True
5,70,2,15,[10. 15. 11. 13. 21.],True
5,70,3,13,[10. 15. 11. 13. 21.],True
5,70,4,13,[10. 15. 11. 13. 21.],True
5,70,5,6,[10. 15. 11. 13. 21.],True
5,70,6,17,[10. 15. 11. 13. 21.],True
5,70,7,13,[10. 15. 11. 13. 21.],True
5,70,8,8,[10. 15. 11. 13. 21.],True
5,70,9,11,[10. 15. 11. 13. 21.],True
5,70,10,12,[10. 15. 11. 13. 21.],True
5,70,11,16,[10. 15. 11. 13. 21.],True
5,70,12,16,[10. 15. 11. 13. 21.],True
5,70,13,11,[10. 15. 11. 13. 21.],True
5,70,14,8,[10. 15. 11. 13. 21.],True
5,70,15,16,[10. 15. 11. 13. 21.],True
5,70,16,10,[10. 15. 11. 13. 21.],True
5,70,17,9,[10. 15. 11. 13. 21.],True
5,70,18,17,[10. 15. 11. 13. 21.],True
5,70,19,6,[10. 15. 11. 13. 21.],True
5,70,20,13,[10. 15. 11. 13. 21.],True
5,70,21,11,[10. 15. 11. 13. 21.],True
5,70,22,11,[10. 15. 11. 13. 21.],True
5,70,23,16,[10. 15. 11. 13. 21.],True
5,70,24,9,[10. 15. 11. 13. 21.],True
5,70,25,19,[10. 15. 11. 13. 21.],True
5,70,26,9,[10. 15. 11. 13. 21.],True
5,70,27,9,[10. 15. 11. 13. 21.],True
