dimension,num_prod,run,iters_to_NE,NE
5,60,5,21,[ 8.  5. 19. 12. 16.]
5,60,6,18,[ 8.  5. 19. 12. 16.]
5,60,7,19,[ 8.  5. 19. 12. 16.]
5,60,8,18,[ 8.  5. 19. 12. 16.]
5,60,9,10,[ 8.  5. 19. 12. 16.]
5,60,10,16,[ 8.  5. 19. 12. 16.]
5,60,11,19,[ 8.  5. 19. 12. 16.]
5,60,12,20,[ 8.  5. 19. 12. 16.]
5,60,13,14,[ 8.  5. 19. 12. 16.]
5,60,14,19,[ 8.  5. 19. 12. 16.]
5,60,15,19,[ 8.  5. 19. 12. 16.]
5,60,16,13,[ 8.  5. 19. 12. 16.]
5,60,17,12,[ 8.  5. 19. 12. 16.]
5,60,18,11,[ 8.  5. 19. 12. 16.]
5,60,19,16,[ 8.  5. 19. 12. 16.]
5,70,0,24,[ 9.  6. 22. 14. 19.]
5,70,1,14,[ 9.  6. 22. 14. 19.]
5,70,2,27,[ 9.  6. 22. 14. 19.]
5,70,3,13,[ 9.  6. 22. 14. 19.]
5,70,4,14,[ 9.  6. 22. 14. 19.]
5,70,5,24,[ 9.  6. 22. 14. 19.]
5,70,6,25,[ 9.  6. 22. 14. 19.]
5,70,7,12,[ 9.  6. 22. 14. 19.]
5,70,8,19,[ 9.  6. 22. 14. 19.]
5,70,9,19,[ 9.  6. 22. 14. 19.]
5,70,10,22,[ 9.  6. 22. 14. 19.]
5,70,11,21,[ 9.  6. 22. 14. 19.]
5,70,12,11,[ 9.  6. 22. 14. 19.]
5,70,13,21,[ 9.  6. 22. 14. 19.]
5,70,14,17,[ 9.  6. 22. 14. 19.]
5,70,15,19,[ 9.  6. 22. 14. 19.]
5,70,16,12,[ 9.  6. 22. 14. 19.]
5,70,17,17,[ 9.  6. 22. 14. 19.]
5,70,18,21,[ 9.  6. 22. 14. 19.]
5,70,19,17,[ 9.  6. 22. 14. 19.]
5,80,0,18,[10.  7. 25. 16. 22.]
5,80,1,18,[10.  7. 25. 16. 22.]
5,80,2,16,[10.  7. 25. 16. 22.]
5,80,3,22,[10.  7. 25. 16. 22.]
5,80,4,17,[10.  7. 25. 16. 22.]
5,80,5,20,[10.  7. 25. 16. 22.]
5,80,6,21,[10.  7. 25. 16. 22.]
5,80,7,11,[10.  7. 25. 16. 22.]
5,80,8,20,[10.  7. 25. 16. 22.]
5,80,9,17,[10.  7. 25. 16. 22.]
5,80,10,21,[10.  7. 25. 16. 22.]
5,80,11,19,[10.  7. 25. 16. 22.]
5,80,12,28,[10.  7. 25. 16. 22.]
5,80,13,13,[10.  7. 25. 16. 22.]
5,80,14,15,[10.  7. 25. 16. 22.]
5,80,15,17,[10.  7. 25. 16. 22.]
5,80,16,28,[10.  7. 25. 16. 22.]
5,80,17,16,[10.  7. 25. 16. 22.]
5,80,18,14,[10.  7. 25. 16. 22.]
5,80,19,21,[10.  7. 25. 16. 22.]
5,90,0,22,[11.  8. 29. 18. 24.]
5,90,1,25,[11.  8. 29. 18. 24.]
5,90,2,22,[11.  8. 29. 18. 24.]
5,90,3,16,[11.  8. 29. 18. 24.]
5,90,4,19,[11.  8. 29. 18. 24.]
5,90,5,13,[11.  8. 29. 18. 24.]
5,90,6,24,[11.  8. 29. 18. 24.]
5,90,7,26,[11.  8. 29. 18. 24.]
5,90,8,19,[11.  8. 29. 18. 24.]
5,90,9,18,[11.  8. 29. 18. 24.]
5,90,10,27,[11.  8. 29. 18. 24.]
5,90,11,30,[11.  8. 29. 18. 24.]
5,90,12,22,[11.  8. 29. 18. 24.]
5,90,13,26,[11.  8. 29. 18. 24.]
5,90,14,17,[11.  8. 29. 18. 24.]
5,90,15,14,[11.  8. 29. 18. 24.]
5,90,16,29,[11.  8. 29. 18. 24.]
5,90,17,28,[11.  8. 29. 18. 24.]
5,90,18,31,[11.  8. 29. 18. 24.]
5,90,19,12,[11.  8. 29. 18. 24.]
5,100,0,28,[12.  9. 32. 20. 27.]
5,100,1,33,[12.  9. 32. 20. 27.]
5,100,2,30,[12.  9. 32. 20. 27.]
5,100,3,25,[12.  9. 32. 20. 27.]
5,100,4,27,[12.  9. 32. 20. 27.]
5,100,5,14,[12.  9. 32. 20. 27.]
5,100,6,21,[12.  9. 32. 20. 27.]
5,100,7,14,[12.  9. 32. 20. 27.]
5,100,8,24,[12.  9. 32. 20. 27.]
5,100,9,25,[12.  9. 32. 20. 27.]
5,100,10,26,[12.  9. 32. 20. 27.]
5,100,11,22,[12.  9. 32. 20. 27.]
5,100,12,18,[12.  9. 32. 20. 27.]
5,100,13,23,[12.  9. 32. 20. 27.]
5,100,14,26,[12.  9. 32. 20. 27.]
5,100,15,25,[12.  9. 32. 20. 27.]
5,100,16,12,[12.  9. 32. 20. 27.]
5,100,17,35,[12.  9. 32. 20. 27.]
5,100,18,24,[12.  9. 32. 20. 27.]
5,100,19,32,[12.  9. 32. 20. 27.]
10,10,0,5,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,1,3,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,2,7,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,3,7,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,4,5,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,5,4,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,6,7,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,7,8,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,8,3,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,9,6,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,10,5,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,11,5,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,12,5,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,13,7,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,14,6,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,15,9,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,16,5,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,17,8,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,18,5,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,10,19,4,[1. 2. 1. 1. 0. 1. 2. 0. 1. 1.]
10,20,0,11,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,1,8,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,2,12,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,3,8,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,4,10,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,5,13,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,6,9,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,7,9,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,8,11,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,9,12,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,10,6,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,11,11,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,12,8,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,13,11,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,14,11,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,15,9,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,16,6,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,17,7,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,18,7,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,20,19,14,[3. 4. 2. 1. 0. 2. 4. 1. 2. 1.]
10,30,0,11,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,1,10,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
