dimension,num_prod,run,iters_to_NE,NE,converged
15,10,16,5,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,17,6,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,18,6,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,19,6,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,20,9,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,21,5,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,22,6,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,23,6,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,24,6,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,25,7,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,26,7,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,27,7,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,28,6,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,29,4,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,30,7,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,31,7,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,32,5,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,33,7,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,34,7,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,35,7,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,36,5,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,37,8,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,38,8,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,10,39,7,[0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0.],True
15,20,0,10,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,1,10,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,2,8,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,3,10,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,4,9,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,5,10,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
