dimension,num_prod,run,iters_to_NE,NE,converged
5,30,21,26,[ 0.  0.  0.  4. 26.],True
5,30,22,21,[ 0.  0.  0.  4. 26.],True
5,30,23,20,[ 0.  0.  0.  4. 26.],True
5,30,24,23,[ 0.  0.  0.  4. 26.],True
5,30,25,18,[ 0.  0.  0.  4. 26.],True
5,30,26,21,[ 0.  0.  0.  4. 26.],True
5,30,27,17,[ 0.  0.  0.  4. 26.],True
5,30,28,23,[ 0.  0.  0.  4. 26.],True
5,30,29,20,[ 0.  0.  0.  4. 26.],True
5,30,30,20,[ 0.  0.  0.  4. 26.],True
5,30,31,22,[ 0.  0.  0.  4. 26.],True
5,30,32,20,[ 0.  0.  0.  4. 26.],True
5,30,33,24,[ 0.  0.  0.  4. 26.],True
5,30,34,21,[ 0.  0.  0.  4. 26.],True
5,30,35,22,[ 0.  0.  0.  4. 26.],True
5,30,36,23,[ 0.  0.  0.  4. 26.],True
5,30,37,21,[ 0.  0.  0.  4. 26.],True
5,30,38,21,[ 0.  0.  0.  4. 26.],True
5,30,39,23,[ 0.  0.  0.  4. 26.],True
5,40,0,25,[ 0.  0.  0.  6. 34.],True
5,40,1,26,[ 0.  0.  0.  6. 34.],True
5,40,2,28,[ 0.  0.  0.  6. 34.],True
5,40,3,27,[ 0.  0.  0.  6. 34.],True
5,40,4,28,[ 0.  0.  0.  6. 34.],True
5,40,5,25,[ 0.  0.  0.  6. 34.],True
5,40,6,29,[ 0.  0.  0.  6. 34.],True
5,40,7,29,[ 0.  0.  0.  6. 34.],True
5,40,8,29,[ 0.  0.  0.  6. 34.],True
5,40,9,33,[ 0.  0.  0.  6. 34.],True
5,40,10,26,[ 0.  0.  0.  6. 34.],True
5,40,11,32,[ 0.  0.  0.  6. 34.],True
5,40,12,24,[ 0.  0.  0.  6. 34.],True
5,40,13,33,[ 0.  0.  0.  6. 34.],True
5,40,14,32,[ 0.  0.  0.  6. 34.],True
5,40,15,32,[ 0.  0.  0.  6. 34.],True
5,40,16,29,[ 0.  0.  0.  6. 34.],True
5,40,17,26,[ 0.  0.  0.  6. 34.],True
5,40,18,28,[ 0.  0.  0.  6. 34.],True
5,40,19,25,[ 0.  0.  0.  6. 34.],True
5,40,20,29,[ 0.  0.  0.  6. 34.],True
5,40,21,31,[ 0.  0.  0.  6. 34.],True
5,40,22,34,[ 0.  0.  0.  6. 34.],True
5,40,23,30,[ 0.  0.  0.  6. 34.],True
5,40,24,30,[ 0.  0.  0.  6. 34.],True
5,40,25,31,[ 0.  0.  0.  6. 34.],True
5,40,26,26,[ 0.  0.  0.  6. 34.],True
5,40,27,28,[ 0.  0.  0.  6. 34.],True
5,40,28,28,[ 0.  0.  0.  6. 34.],True
5,40,29,26,[ 0.  0.  0.  6. 34.],True
5,40,30,28,[ 0.  0.  0.  6. 34.],True
5,40,31,30,[ 0.  0.  0.  6. 34.],True
5,40,32,29,[ 0.  0.  0.  6. 34.],True
5,40,33,29,[ 0.  0.  0.  6. 34.],True
5,40,34,27,[ 0.  0.  0.  6. 34.],True
5,40,35,34,[ 0.  0.  0.  6. 34.],True
5,40,36,27,[ 0.  0.  0.  6. 34.],True
5,40,37,32,[ 0.  0.  0.  6. 34.],True
5,40,38,25,[ 0.  0.  0.  6. 34.],True
5,40,39,29,[ 0.  0.  0.  6. 34.],True
5,50,0,38,[ 0.  0.  0.  7. 43.],True
5,50,1,31,[ 0.  0.  0.  7. 43.],True
5,50,2,38,[ 0.  0.  0.  7. 43.],True
5,50,3,35,[ 0.  0.  0.  7. 43.],True
5,50,4,36,[ 0.  0.  0.  7. 43.],True
5,50,5,34,[ 0.  0.  0.  7. 43.],True
5,50,6,38,[ 0.  0.  0.  7. 43.],True
5,50,7,37,[ 0.  0.  0.  7. 43.],True
5,50,8,42,[ 0.  0.  0.  7. 43.],True
5,50,9,39,[ 0.  0.  0.  7. 43.],True
5,50,10,38,[ 0.  0.  0.  7. 43.],True
5,50,11,36,[ 0.  0.  0.  7. 43.],True
5,50,12,38,[ 0.  0.  0.  7. 43.],True
5,50,13,37,[ 0.  0.  0.  7. 43.],True
5,50,14,36,[ 0.  0.  0.  7. 43.],True
5,50,15,35,[ 0.  0.  0.  7. 43.],True
5,50,16,34,[ 0.  0.  0.  7. 43.],True
5,50,17,32,[ 0.  0.  0.  7. 43.],True
5,50,18,37,[ 0.  0.  0.  7. 43.],True
5,50,19,41,[ 0.  0.  0.  7. 43.],True
5,50,20,42,[ 0.  0.  0.  7. 43.],True
5,50,21,35,[ 0.  0.  0.  7. 43.],True
5,50,22,39,[ 0.  0.  0.  7. 43.],True
5,50,23,32,[ 0.  0.  0.  7. 43.],True
5,50,24,39,[ 0.  0.  0.  7. 43.],True
5,50,25,37,[ 0.  0.  0.  7. 43.],True
5,50,26,33,[ 0.  0.  0.  7. 43.],True
5,50,27,34,[ 0.  0.  0.  7. 43.],True
5,50,28,36,[ 0.  0.  0.  7. 43.],True
5,50,29,39,[ 0.  0.  0.  7. 43.],True
5,50,30,36,[ 0.  0.  0.  7. 43.],True
5,50,31,35,[ 0.  0.  0.  7. 43.],True
5,50,32,37,[ 0.  0.  0.  7. 43.],True
5,50,33,34,[ 0.  0.  0.  7. 43.],True
5,50,34,39,[ 0.  0.  0.  7. 43.],True
5,50,35,35,[ 0.  0.  0.  7. 43.],True
5,50,36,35,[ 0.  0.  0.  7. 43.],True
5,50,37,39,[ 0.  0.  0.  7. 43.],True
5,50,38,38,[ 0.  0.  0.  7. 43.],True
5,50,39,38,[ 0.  0.  0.  7. 43.],True
5,60,0,45,[ 0.  0.  0.  8. 52.],True
5,60,1,42,[ 0.  0.  0.  8. 52.],True
5,60,2,47,[ 0.  0.  0.  8. 52.],True
5,60,3,42,[ 0.  0.  0.  8. 52.],True
5,60,4,52,[ 0.  0.  0.  8. 52.],True
5,60,5,47,[ 0.  0.  0.  8. 52.],True
5,60,6,49,[ 0.  0.  0.  8. 52.],True
5,60,7,42,[ 0.  0.  0.  8. 52.],True
5,60,8,43,[ 0.  0.  0.  8. 52.],True
5,60,9,41,[ 0.  0.  0.  8. 52.],True
5,60,10,41,[ 0.  0.  0.  8. 52.],True
5,60,11,40,[ 0.  0.  0.  8. 52.],True
5,60,12,47,[ 0.  0.  0.  8. 52.],True
5,60,13,42,[ 0.  0.  0.  8. 52.],True
5,60,14,41,[ 0.  0.  0.  8. 52.],True
5,60,15,48,[ 0.  0.  0.  8. 52.],True
5,60,16,46,[ 0.  0.  0.  8. 52.],True
5,60,17,42,[ 0.  0.  0.  8. 52.],True
5,60,18,40,[ 0.  0.  0.  8. 52.],True
5,60,19,41,[ 0.  0.  0.  8. 52.],True
5,60,20,45,[ 0.  0.  0.  8. 52.],True
5,60,21,45,[ 0.  0.  0.  8. 52.],True
5,60,22,43,[ 0.  0.  0.  8. 52.],True
5,60,23,39,[ 0.  0.  0.  8. 52.],True
5,60,24,42,[ 0.  0.  0.  8. 52.],True
5,60,25,43,[ 0.  0.  0.  8. 52.],True
5,60,26,46,[ 0.  0.  0.  8. 52.],True
5,60,27,47,[ 0.  0.  0.  8. 52.],True
5,60,28,50,[ 0.  0.  0.  8. 52.],True
5,60,29,41,[ 0.  0.  0.  8. 52.],True
5,60,30,40,[ 0.  0.  0.  8. 52.],True
5,60,31,40,[ 0.  0.  0.  8. 52.],True
5,60,32,43,[ 0.  0.  0.  8. 52.],True
5,60,33,40,[ 0.  0.  0.  8. 52.],True
5,60,34,42,[ 0.  0.  0.  8. 52.],True
5,60,35,47,[ 0.  0.  0.  8. 52.],True
5,60,36,44,[ 0.  0.  0.  8. 52.],True
5,60,37,45,[ 0.  0.  0.  8. 52.],True
5,60,38,43,[ 0.  0.  0.  8. 52.],True
5,60,39,41,[ 0.  0.  0.  8. 52.],True
5,70,0,53,[ 0.  0.  0. 10. 60.],True
5,70,1,55,[ 0.  0.  0. 10. 60.],True
5,70,2,52,[ 0.  0.  0. 10. 60.],True
5,70,3,51,[ 0.  0.  0. 10. 60.],True
5,70,4,50,[ 0.  0.  0. 10. 60.],True
5,70,5,56,[ 0.  0.  0. 10. 60.],True
5,70,6,50,[ 0.  0.  0. 10. 60.],True
5,70,7,52,[ 0.  0.  0. 10. 60.],True
5,70,8,50,[ 0.  0.  0. 10. 60.],True
5,70,9,55,[ 0.  0.  0. 10. 60.],True
5,70,10,57,[ 0.  0.  0. 10. 60.],True
5,70,11,53,[ 0.  0.  0. 10. 60.],True
5,70,12,54,[ 0.  0.  0. 10. 60.],True
5,70,13,47,[ 0.  0.  0. 10. 60.],True
5,70,14,52,[ 0.  0.  0. 10. 60.],True
5,70,15,52,[ 0.  0.  0. 10. 60.],True
5,70,16,45,[ 0.  0.  0. 10. 60.],True
5,70,17,44,[ 0.  0.  0. 10. 60.],True
5,70,18,49,[ 0.  0.  0. 10. 60.],True
5,70,19,50,[ 0.  0.  0. 10. 60.],True
5,70,20,56,[ 0.  0.  0. 10. 60.],True
5,70,21,54,[ 0.  0.  0. 10. 60.],True
5,70,22,51,[ 0.  0.  0. 10. 60.],True
5,70,23,53,[ 0.  0.  0. 10. 60.],True
5,70,24,48,[ 0.  0.  0. 10. 60.],True
5,70,25,50,[ 0.  0.  0. 10. 60.],True
5,70,26,50,[ 0.  0.  0. 10. 60.],True
5,70,27,58,[ 0.  0.  0. 10. 60.],True
5,70,28,54,[ 0.  0.  0. 10. 60.],True
5,70,29,48,[ 0.  0.  0. 10. 60.],True
5,70,30,44,[ 0.  0.  0. 10. 60.],True
5,70,31,53,[ 0.  0.  0. 10. 60.],True
5,70,32,53,[ 0.  0.  0. 10. 60.],True
5,70,33,49,[ 0.  0.  0. 10. 60.],True
5,70,34,49,[ 0.  0.  0. 10. 60.],True
5,70,35,53,[ 0.  0.  0. 10. 60.],True
5,70,36,44,[ 0.  0.  0. 10. 60.],True
5,70,37,55,[ 0.  0.  0. 10. 60.],True
