dimension,num_prod,run,iters_to_NE,NE
5,30,25,26,[ 2. 21.  7.  0.  0.]
5,30,26,23,[ 2. 21.  7.  0.  0.]
5,30,27,17,[ 2. 21.  7.  0.  0.]
5,30,28,24,[ 2. 21.  7.  0.  0.]
5,30,29,19,[ 2. 21.  7.  0.  0.]
5,30,30,20,[ 2. 21.  7.  0.  0.]
5,30,31,20,[ 2. 21.  7.  0.  0.]
5,30,32,16,[ 2. 21.  7.  0.  0.]
5,30,33,21,[ 2. 21.  7.  0.  0.]
5,30,34,18,[ 2. 21.  7.  0.  0.]
5,30,35,17,[ 2. 21.  7.  0.  0.]
5,30,36,20,[ 2. 21.  7.  0.  0.]
5,30,37,21,[ 2. 21.  7.  0.  0.]
5,30,38,22,[ 2. 21.  7.  0.  0.]
5,30,39,16,[ 2. 21.  7.  0.  0.]
5,40,0,28,[ 2. 28. 10.  0.  0.]
5,40,1,28,[ 2. 28. 10.  0.  0.]
5,40,2,29,[ 2. 28. 10.  0.  0.]
5,40,3,28,[ 2. 28. 10.  0.  0.]
5,40,4,29,[ 2. 28. 10.  0.  0.]
5,40,5,26,[ 2. 28. 10.  0.  0.]
5,40,6,24,[ 2. 28. 10.  0.  0.]
5,40,7,30,[ 2. 28. 10.  0.  0.]
5,40,8,23,[ 2. 28. 10.  0.  0.]
5,40,9,21,[ 2. 28. 10.  0.  0.]
5,40,10,30,[ 2. 28. 10.  0.  0.]
5,40,11,20,[ 2. 28. 10.  0.  0.]
5,40,12,28,[ 2. 28. 10.  0.  0.]
5,40,13,34,[ 2. 28. 10.  0.  0.]
5,40,14,26,[ 2. 28. 10.  0.  0.]
5,40,15,27,[ 2. 28. 10.  0.  0.]
5,40,16,23,[ 2. 28. 10.  0.  0.]
5,40,17,33,[ 2. 28. 10.  0.  0.]
5,40,18,27,[ 2. 28. 10.  0.  0.]
5,40,19,26,[ 2. 28. 10.  0.  0.]
5,40,20,27,[ 2. 28. 10.  0.  0.]
5,40,21,32,[ 2. 28. 10.  0.  0.]
5,40,22,26,[ 2. 28. 10.  0.  0.]
5,40,23,25,[ 2. 28. 10.  0.  0.]
5,40,24,28,[ 2. 28. 10.  0.  0.]
5,40,25,26,[ 2. 28. 10.  0.  0.]
5,40,26,24,[ 2. 28. 10.  0.  0.]
5,40,27,26,[ 2. 28. 10.  0.  0.]
5,40,28,24,[ 2. 28. 10.  0.  0.]
5,40,29,28,[ 2. 28. 10.  0.  0.]
5,40,30,31,[ 2. 28. 10.  0.  0.]
5,40,31,27,[ 2. 28. 10.  0.  0.]
5,40,32,25,[ 2. 28. 10.  0.  0.]
5,40,33,28,[ 2. 28. 10.  0.  0.]
5,40,34,31,[ 2. 28. 10.  0.  0.]
5,40,35,25,[ 2. 28. 10.  0.  0.]
5,40,36,27,[ 2. 28. 10.  0.  0.]
5,40,37,28,[ 2. 28. 10.  0.  0.]
5,40,38,29,[ 2. 28. 10.  0.  0.]
5,40,39,24,[ 2. 28. 10.  0.  0.]
5,50,0,32,[ 3. 34. 13.  0.  0.]
5,50,1,33,[ 3. 34. 13.  0.  0.]
5,50,2,38,[ 3. 34. 13.  0.  0.]
5,50,3,37,[ 3. 34. 13.  0.  0.]
5,50,4,32,[ 3. 34. 13.  0.  0.]
5,50,5,31,[ 3. 34. 13.  0.  0.]
5,50,6,35,[ 3. 34. 13.  0.  0.]
5,50,7,34,[ 3. 34. 13.  0.  0.]
5,50,8,26,[ 3. 34. 13.  0.  0.]
5,50,9,37,[ 3. 34. 13.  0.  0.]
5,50,10,32,[ 3. 34. 13.  0.  0.]
5,50,11,21,[ 3. 34. 13.  0.  0.]
5,50,12,29,[ 3. 34. 13.  0.  0.]
5,50,13,38,[ 3. 34. 13.  0.  0.]
5,50,14,31,[ 3. 34. 13.  0.  0.]
5,50,15,34,[ 3. 34. 13.  0.  0.]
5,50,16,29,[ 3. 34. 13.  0.  0.]
5,50,17,30,[ 3. 34. 13.  0.  0.]
5,50,18,33,[ 3. 34. 13.  0.  0.]
5,50,19,36,[ 3. 34. 13.  0.  0.]
5,50,20,36,[ 3. 34. 13.  0.  0.]
5,50,21,31,[ 3. 34. 13.  0.  0.]
5,50,22,33,[ 3. 34. 13.  0.  0.]
5,50,23,34,[ 3. 34. 13.  0.  0.]
