dimension,num_prod,run,iters_to_NE,NE
5,30,31,6,[5. 7. 7. 8. 3.]
5,30,32,6,[5. 7. 7. 8. 3.]
5,30,33,6,[5. 7. 7. 8. 3.]
5,30,34,8,[5. 7. 7. 8. 3.]
5,30,35,7,[5. 7. 7. 8. 3.]
5,30,36,11,[5. 7. 7. 8. 3.]
5,30,37,7,[5. 7. 7. 8. 3.]
5,30,38,5,[5. 7. 7. 8. 3.]
5,30,39,4,[5. 7. 7. 8. 3.]
5,40,0,12,[ 7.  9. 10. 10.  4.]
5,40,1,5,[ 7.  9. 10. 10.  4.]
5,40,2,12,[ 7.  9. 10. 10.  4.]
5,40,3,3,[ 7.  9. 10. 10.  4.]
5,40,4,11,[ 7.  9. 10. 10.  4.]
5,40,5,10,[ 7.  9. 10. 10.  4.]
5,40,6,12,[ 7.  9. 10. 10.  4.]
5,40,7,10,[ 7.  9. 10. 10.  4.]
5,40,8,10,[ 7.  9. 10. 10.  4.]
5,40,9,4,[ 7.  9. 10. 10.  4.]
5,40,10,8,[ 7.  9. 10. 10.  4.]
5,40,11,8,[ 7.  9. 10. 10.  4.]
5,40,12,8,[ 7.  9. 10. 10.  4.]
5,40,13,9,[ 7.  9. 10. 10.  4.]
5,40,14,10,[ 7.  9. 10. 10.  4.]
5,40,15,11,[ 7.  9. 10. 10.  4.]
5,40,16,7,[ 7.  9. 10. 10.  4.]
5,40,17,3,[ 7.  9. 10. 10.  4.]
5,40,18,8,[ 7.  9. 10. 10.  4.]
5,40,19,7,[ 7.  9. 10. 10.  4.]
5,40,20,5,[ 7.  9. 10. 10.  4.]
5,40,21,9,[ 7.  9. 10. 10.  4.]
5,40,22,9,[ 7.  9. 10. 10.  4.]
5,40,23,7,[ 7.  9. 10. 10.  4.]
5,40,24,10,[ 7.  9. 10. 10.  4.]
5,40,25,11,[ 7.  9. 10. 10.  4.]
5,40,26,8,[ 7.  9. 10. 10.  4.]
5,40,27,13,[ 7.  9. 10. 10.  4.]
5,40,28,8,[ 7.  9. 10. 10.  4.]
5,40,29,6,[ 7.  9. 10. 10.  4.]
5,40,30,16,[ 7.  9. 10. 10.  4.]
