dimension,nprod,avg_prod_util_lin,avg_prod_util_sm,min_prod_util_lin,min_prod_util_sm,avg_user_util_lin,avg_user_util_sm,min_user_util_lin,min_user_util_sm
5,10,21.84139465899407,19.69109180151051,21.577077792681635,19.661910241092492,0.23161606213143232,0.20881327467137328,0.16056574927443026,0.044975402659341815
5,20,10.926354353912558,9.845345413911934,10.857321320517524,9.839707511542917,0.23173604144035115,0.20880902256441,0.16288526183007793,0.044830566107540035
5,30,7.285814337506295,6.56469943760388,7.2530170694887985,6.561371906504161,0.23178624615608578,0.2088451570817778,0.16276098774437203,0.04525536986076652
5,40,5.465549799360214,4.923404635669132,5.447227017343914,4.92156542331146,0.23183668289969095,0.2088400693815115,0.16663387675014374,0.045289143212721525
5,50,4.372814122287408,3.938682130031777,4.361281125969892,3.9377297404830487,0.23185652822308628,0.208837864794898,0.169383693705512,0.04499018127462872
5,60,3.6443432075511266,3.2822165227826674,3.6358596738012166,3.2816004019716765,0.23187761659922335,0.20883668225552504,0.17009374149401071,0.044938108737631335
5,70,3.123355199931474,2.813406952042093,3.1176122011711436,2.8128246432562767,0.23185033297476482,0.20884250969559554,0.16828549559313433,0.04521212345630801
5,80,2.733172284308308,2.4617100615669774,2.728528669484306,2.461401684114932,0.23187039527536016,0.20884072632593656,0.16972948293047518,0.04514125860473976
5,90,2.4294413634692016,2.1882083167635775,2.426052392729729,2.187804068201775,0.23186608983269158,0.20884278738994907,0.16923239992841077,0.045121673684044
5,100,2.186619094630239,1.9693852057962338,2.1838367679000195,1.9691366820703409,0.23187901321635618,0.20884254568358784,0.16900853071386893,0.045055186809465624
10,10,12.014571851315386,9.901861104515769,11.786925669507134,9.895201542597041,0.12740797297259154,0.10500382931617995,0.07480394027231532,0.011678752320711524
10,20,6.0125562552947045,4.951272095463596,5.9507905067569515,4.949152354298472,0.12751975090762893,0.10501107307451954,0.08488821977654212,0.010723384404107606
