dimension,nprod,avg_prod_util_lin,avg_prod_util_sm,min_prod_util_lin,min_prod_util_sm,avg_user_util_lin,avg_user_util_sm,min_user_util_lin,min_user_util_sm
5,30,111.14729518326801,76.27261244180558,109.35018649695022,76.03931170676474,0.3334418855498041,0.2288178373254166,0.20092962652643095,0.18375950300757476
5,40,83.36475458411155,57.210191642555195,82.37059344285976,57.10265937067911,0.3334590183364461,0.22884076657022073,0.20107511021788346,0.1854494320329049
5,50,66.69465130768539,45.7663523490119,65.98357722565558,45.67541887794514,0.33347325653842685,0.2288317617450597,0.20098511438460687,0.18457311150747363
5,60,55.58050229242433,38.14132536162411,55.052011177453394,38.08250229982467,0.333483013754546,0.2288479521697447,0.2009908989593428,0.18583493354342245
5,70,47.638647245426384,32.690957087558914,47.25236530544852,32.649259505307256,0.33347053071798466,0.2288366996129124,0.20088004347300176,0.18460199173826514
5,80,41.68447104906715,28.604149400606588,41.385974229980306,28.574759132084647,0.33347576839253723,0.22883319520485274,0.20093352199285333,0.1844660799844551
5,90,37.05329446279391,25.426359091543368,36.829595471111205,25.3989858187984,0.33347965016514525,0.22883723182389035,0.2009880752702368,0.1849391219710254
5,100,33.34779034416518,22.884111943433386,33.16756209861595,22.863253036502346,0.33347790344165185,0.2288411194343339,0.2010267836626077,0.18514458487542268
10,10,181.92557207554506,108.72565475487927,177.26075067948597,108.22637472070974,0.18192557207554505,0.10872565475487925,0.10612574143839719,0.024937647417349062
10,20,90.94558802610933,54.3998607186215,88.63292515949209,54.28314434851374,0.18189117605221863,0.10879972143724306,0.1058346663152921,0.03240377970946643
10,30,60.62918680545895,36.27342558852586,59.277896282965514,36.214167101271826,0.18188756041637683,0.10882027676557762,0.10560033284715675,0.03208928703440633
10,40,45.468424414203085,27.204102506034452,44.61444555082051,27.170449868217748,0.18187369765681236,0.10881641002413774,0.10576827656287575,0.03191349956238545
10,50,36.37878951311765,21.76558488531867,35.83500396008533,21.74476881806528,0.18189394756558835,0.10882792442659335,0.10558805118289882,0.03353966367775034
10,60,30.318230916256237,18.136184237733648,29.950099456918757,18.121944918695586,0.1819093854975375,0.10881710542640184,0.10562360448493884,0.03233633060838219
10,70,25.986197113887876,15.546108022601612,25.72129175760299,15.534065520411843,0.1819033797972151,0.10882275615821128,0.10530655624858498,0.03267342472386854
10,80,22.73966050035532,13.60308810712014,22.54312885583787,13.594537090191077,0.1819172840028426,0.10882470485696114,0.10542472129688896,0.03317722786672263
10,90,20.214179278425455,12.091576669413595,20.051650537455743,12.08531767075246,0.18192761350582914,0.10882419002472239,0.10553907139412196,0.0331272265732485
10,100,18.19259703507494,10.882531776615844,18.058131568054485,10.877018789885398,0.18192597035074928,0.10882531776615842,0.10560273860165097,0.03337118813620988
15,10,121.99349371474005,71.03441079876484,119.60302503707015,70.84736821497182,0.1219934937147401,0.0710344107987649,0.03162783470585642,0.008899575489660904
15,20,62.31136302317121,35.52548044526604,59.92090243180574,35.47667490414042,0.12462272604634243,0.07105096089053202,0.07454164417684886,0.010251455464864473
15,30,41.65427568784484,23.685750557341766,40.71021182184636,23.659091979110073,0.12496282706353452,0.0710572516720253,0.07498622147198318,0.010134139260665179
15,40,31.24469925782592,17.763962926069134,30.618801852243486,17.752084005841436,0.1249787970313037,0.07105585170427652,0.07515760043779346,0.01039948600153479
15,50,25.004079826182238,14.212929961928921,24.633903307285955,14.20356777633109,0.12502039913091118,0.07106464980964455,0.07515771191642304,0.010564950958550416
15,60,20.83779679957778,11.842867479199105,20.561782119862517,11.838407465941827,0.12502678079746668,0.07105720487519465,0.07524009094010367,0.01032045169991974
15,70,17.864773087890036,10.151423196529148,17.67261131550089,10.146982174840703,0.1250534116152302,0.07105996237570403,0.07514436790863631,0.010415883632768715
15,80,15.631352655753762,8.882648819522531,15.472760249449674,8.879159087456129,0.12505082124603012,0.07106119055618021,0.07549834301968439,0.010427444702074823
15,90,13.895782838083539,7.895746927649822,13.774891272494312,7.892659151562947,0.12506204554275185,0.07106172234884837,0.07539801183047683,0.010488611859858804
15,100,12.50541361861099,7.105907915309016,12.402258274372954,7.103936094850603,0.1250541361861099,0.07105907915309019,0.07540746027215403,0.01047456247326371
20,10,91.77453757945113,52.66017308787393,90.38232400880706,52.54259854446942,0.09177453757945116,0.05266017308787395,0.020443009225208218,0.005565086602036752
20,20,47.596178642866,26.336015910338983,45.902616757355325,26.309481410455078,0.09519235728573201,0.05267203182067796,0.05564474620146045,0.0060557542016405385
20,30,31.69221019255742,17.560674848616053,30.884180470606104,17.546789281811556,0.09507663057767224,0.05268202454584812,0.05771996384504539,0.006207019317570749
20,40,23.80164307051569,13.170292199563386,23.336056536808083,13.163230209179806,0.09520657228206278,0.052681168798253505,0.058073851812184385,0.006231339856646956
20,50,19.043447577851673,10.536112754457525,18.725336923180116,10.531084347911008,0.09521723788925839,0.0526805637722876,0.05835787445451116,0.0062532077182570435
20,60,15.87213546261668,8.780008091691325,15.672458614065633,8.776995998132525,0.09523281277570009,0.052680048550148004,0.05843900302431284,0.006416321004228437
20,70,13.606747393704717,7.5258020661079525,13.42855666926486,7.523261455298025,0.09524723175593304,0.05268061446275566,0.05833426086953393,0.006140146410298312
20,80,11.906824137285541,6.585104565448788,11.791297592770078,6.58323896158344,0.09525459309828434,0.05268083652359031,0.0586736083409535,0.006267572420076678
20,90,10.584303896100142,5.8534579332819145,10.48114556191447,5.852096648829671,0.09525873506490128,0.05268112139953721,0.05877585748688553,0.00629267764577302
20,100,9.525970006840435,5.26803658947056,9.445442923751584,5.266970057601378,0.09525970006840434,0.05268036589470563,0.05845610796444545,0.006201896350408983
